 ,name ,gen info,lifecycle,care difficulty,how to plant,watering,seasons,warnings,sunlight,soil,website link,citation
bishopofllandaff,Bishop of Llandaff,"With its deep purple-black leaves and brilliant summer blooms, ‘Bishop of Llandaff’ is a fine addition to the sunny bed or border. The 4- to 6-inch-round red-petaled flowers have deep purple and yellow centers, which are set off nicely by the plant’s dark foliage. Use this long-stemmed cultivar in cut-flower arrangements.",Perrenial,,Division in spring is preferred. Use a sharp knife to sever tubers ensuring that each division has at least one eye.,"Do not water until growth appears above the ground; once plants are established, a deep watering twice a week will get them through summer dry periods",Blooms Summer to Fall,,They require full sun.,"They are best grown in rich, well-drained soil.",https://www.finegardening.com/plant/dahlia-dahlia-bishop-llandaff  https://www.whiteflowerfarm.com/40884-product.html#!growguide,"“'Bishop of Llandaff' Dahlia,” FineGardening. [Online]. Available: https://www.finegardening.com/plant/dahlia-dahlia-bishop-llandaff. [Accessed: 11-Apr-2019].   “Dahlia 'Bishop of Llandaff',” White Flower Farm. [Online]. Available: https://www.whiteflowerfarm.com/40884-product.html#!growguide. [Accessed: 11-Apr-2019]."
blackberrylily,Blackberry Lily,"Also known as Leopard Flower, exotic, lily-like orange flowers spotted with red adorn these striking 3- to 4-foot-tall plants. Fleshy black seeds provide fall and winter interest, and are used in arrangements.",Perrenial,Easy,"Propagate by seed, division or separation. Divide in the early spring.

Sow seeds in autumn or spring. Pre-chilling the seeds may aid germination. Self-seeds readily, but unwanted seedlings are easy to remove.

Days to emergence: 21",,Blooms Mid-Late Summer,,They require full sun or partial shade.,They are best grown in well drained soil.,http://www.gardening.cornell.edu/homegardening/scenebb97.html,"“Blackberry Lily,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scenebb97.html. [Accessed: 11-Apr-2019]."
blackeyedsusan,Black-eyed Susan,"Black-eyed Susans (Rudbeckia hirta) are native to North America and one of the most popular wildflowers grown. They tend to blanket open fields, often surprising the passerby with their golden-yellow beauty.",Perrenial,,"Sow by seeds. Plant black-eyed Susans when the soil temperature has reached 70°F for best seed germination. In many parts of North America, the planting period is March to May. The flower will flower June to September. Germination takes 7 to 30 days.",Check your plants regularly to see if they need watering. Make sure they don’t dry out.,Blooms Summer and Fall,,They require full sun or partial sun.,"They are best grown in moist, well-drained soil.",https://www.almanac.com/plant/black-eyed-susans,"“Black-eyed Susans,” Old Farmer's Almanac. [Online]. Available: https://www.almanac.com/plant/black-eyed-susans. [Accessed: 11-Apr-2019]."
blanketflower,Blanket Flower,"Produced above a clump of hairy, narrow, gray-green leaves, the blossoms of perennial blanket flower have petals that may be solid colored shades of yellow, wine red , orange or peach, or may be banded in combinations of red or orange with yellow. The petals of some are frilled, while others have a unique, tubular shape. Sizes range from 10-12 inch high dwarfs to selections as tall as 24-30 inches. All are easy care plants with few insect or disease problems and most are hardy in zones 3-9.",Perrenial,,"Container grown plants can be set out throughout the growing season, but spring or fall planting is ideal. Space dwarf cultivars about a foot apart; taller varieties should be set about 18 inches apart. Prepare the garden bed by using a garden fork or tiller to loosen the soil to a depth of 12 to 15 inches, then mix in a 2- to 4-inch layer of compost. Dig a hole twice the diameter of the pot the plant is in. Carefully remove the plant from its container and place it in the hole so the top of the root ball is level with the soil surface. Carefully fill in around the root ball and firm the soil gently. Water thoroughly.",Water newly set out or divided plants regularly until they become established. ,Blooms Early Summer to Early Fall,,They require full sun.,"They are best grown in very well-drained soil. They prefer loose, sandy soil that isn't overly fertile and pH near neutral or slightly alkaline.",https://garden.org/plants/group/blanketflowers/,"“Blanket Flowers: Plant Care and Collection of Varieties,” Blanket Flowers: Plant Care and Collection of Varieties - Garden.org. [Online]. Available: https://garden.org/plants/group/blanketflowers/. [Accessed: 11-Apr-2019]."
bolerodeepblue,Bolero Deep Blue,,,,,,,,,,,
bougainvillea,Bougainvillea,"The Bougainvillea is an immensely showy, floriferous and hardy plant. Virtually pest-free and disease resistant, it rewards its owner with an abundance of color and vitality when it is well looked after. The bougainvillea’s versatility is legendary. It can be coaxed into a small manageable pot plant or a sizeable tree, to spread itself vertically on a wall, or climb up a trellis and form a luscious crown or burst forth into graceful arches. It makes one of the best hedges, bushes, and curb-liners.",Perrenial,,"Generally, bougainvillea can be grown in anything that will hold soil and allow proper drainage. Some of the more traditionally used containers include terra cotta (clay) pots, plastic pots, hanging baskets, wire baskets lined with sphagnum moss or fibrous liners, concrete planters, planter boxes, and bushel baskets. ",,Blooms Fall to Spring (depending on climate),,They require full sun.,They are best grown in well-drained soil.,https://www.bgi-usa.com/bougainvillea-101/,"“Bougainvillea 101 | Bougainvillea Plant Care & Fertilizer,” BGI Premium Plant Foods, 06-Oct-2017. [Online]. Available: https://www.bgi-usa.com/bougainvillea-101/. [Accessed: 11-Apr-2019]."
bromelia,Bromelia,"Bromeliad is the name for a family of plants that is incredibly diverse. There are 2,877 different species of bromeliads. ",Perrenial,,,"Bromeliads are adapted to withstand drought, but are much less tolerant of being over-watered which can cause root rot. It is important that your bromeliad is planted in a medium that allows for fast drainage. Each time you water the potting medium, thoroughly soak it so that the water runs from the drainage holes.",,,They require full sun.,They are best grown in potting mixes specially formulated for bromeliads or in a mix using porous materials.,http://www.bromeliads.info/general-indoor-outdoor-bromeliad-care/,"“General Indoor and Outdoor Bromeliad Care,” Bromeliad Plant Care, 20-Jun-2016. [Online]. Available: http://www.bromeliads.info/general-indoor-outdoor-bromeliad-care/. [Accessed: 18-Apr-2019]."
buttercup,Buttercup,"Buttercup flowers are members of the Ranunculus genus, a large family (about 400 species) of flowers. These bright, yellow, five-petaled summer bloomers, are native to Asia, Australia, Central America, North America and Europe.",Perrenial,Easy,Buttercups grow from seed or roots. The seed is difficult to germinate and takes weeks to sprout. Most people grow these plants from division of the roots. Divide plants in spring or fall. ,Water established plants during dry periods and droughts.,,,They require full sun or partial shade.,They are best grown in light soil that drains well. They prefer rich soil.,http://www.gardenersnet.com/flower/buttercup.htm,How to Grow Buttercup Ranunculus Flowers by The Gardener's Network. [Online]. Available: http://www.gardenersnet.com/flower/buttercup.htm. [Accessed: 18-Apr-2019].
californiapoppy,California Poppy,"California Poppies quickly lay down mats of fern-like foliage from which emerge brilliant red, orange and yellow flowers to dazzle the summer garden. Particularly good for covering dry sites that get watered infrequently.

",Annual,Easy,"Propagate by seed. This plant does not transplant well and should be grown from seeds scattered outdoors in the spring when the soil becomes workable. Scatter the seeds where the plants are desired for summer bloom. This plant may seem like it is a perennial, coming back in the same place every year due to self-seeding. However, self-seeding may not produce plants identical to the initial planted variety.",,Blooms Summer and Fall,,They require full sun.,"They requires well-drained soil and high fertility but they tolerate droughty soil. They thrive in dry, sandy areas, and will stand up well to heat.",http://www.gardening.cornell.edu/homegardening/scene43bf-2.html,"“California Poppy,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene43bf-2.html. [Accessed: 11-Apr-2019]."
camellia,Camellia,,,,,,,,,,,
cannalily,Canna Lily,"Cana Lilies have large leaves that resemble those of banana plants, and tall spikes of showy flowers, that bring a tropical feel to the summer garden. The tender bulbs must be dug and stored over winter.",Annual,Moderately Difficult,"Propagate by division or separation. Divide the rhizomes when planting after danger of frost has passed in spring. Each segment should have a strong, healthy ""eye.""",Keep them watered but not soggy.,Blooms Summer and Fall,,They require full sun.,They require well-drained soil and prefer fertile and moist but well-drained soil.,http://www.gardening.cornell.edu/homegardening/scene0750.html,"""Canna Lily,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene0750.html. [Accessed: 11-Apr-2019]."
canterburybells,Canterbury Bells,"Bring an English cottage garden to your yard with these charming, old-fashioned biennial plants. They bear racemes of bell-like flowers in shades of pink, white, purple and blue.",Biennial,Moderately Difficult,"Propagate by seed. Start seeds outdoors in late spring or early summer in a nursery area of the garden. Thin and grow for the summer in the holding area, overwinter, and transplant into the flower garden the following spring.

",,Blooms Late Spring-Mid Summer,,They require full sun or partial shade.,They require well-drained soil and prefer moist soil.,http://www.gardening.cornell.edu/homegardening/sceneab8a.html,"""Canterbury Bells,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/sceneab8a.html. [Accessed: 11-Apr-2019]."
capeflower,Cape Flower,,,,,,,,,,,
carnation,Carnation,,,,,,,,,,,
cautleyaspicata,Cautleya Spicata,,,,,,,,,,,
clematis,Clematis,,,,,,,,,,,
coltsfoot,Colt's Foot,,,,,,,,,,,
columbine,Columbine,"Similar to the native Canada Columbine, these hybrids have dainty fern-like foliage and masses of showy, spurred blooms. But hybrid columbines come in a wider range of colors, and bear larger, upright flowers, often on more compact plants.",Perennial,Easy,"Propagate by seed, division or separation. Grow only from purchased, labelled seed, as most hybrids do not come true from home-raised seed. Divide carefully in spring. Plants don't like to be disturbed and may take a long time to recover.",Provide them with constant moisture in full sun without waterlogging the soil.,Blooms Mid Spring-Early Summer,,They require full sun or partial shade.,"They require well-drained soil and prefer rich, moist but well-drained soil.",http://www.gardening.cornell.edu/homegardening/scene37a5.html,"""Columbine, Hybrid,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene37a5.html. [Accessed: 11-Apr-2019]."
commondandelion,Common Dandelion,,,,,,,,,,,
cornpoppy,Corn Poppy,,,,,,,,,,,
cyclamen,Cyclamen,"With glossy, heart-shaped leaves marked with silver, and dainty but showy flowers, Hardy Cyclamen is an early-spring bloomer. Hardy to Zone 5, its flowers are nearly identical to those found on nonhardy florist's cyclamens.",Perennial,Easy,"Propagate by seed, division or separation. Soak seeds for 12 hours before planting. Sow the seeds in late spring for next year's flowering. Plant tubers (actually enlarged hypocotyls) in late summer or early fall.",,Blooms Early Spring,,They require partial shade.,"They require well-drained soil and prefer rich, moist but well-drained soil.",http://www.gardening.cornell.edu/homegardening/scene5622.html,"""Cyclamen, Hardy,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene5622.html. [Accessed: 11-Apr-2019]."
daffodil,Daffodil,"Flowering in spring, daffodils are reliable, easy to grow, deer-resistant and great for naturalizing. Cyclamineus Daffodils have nodding blooms with strongly reflexed perianths and long cups. Flowers come in a wide variety of shades of red, orange, yellow, green, white, and pink.",Perennial,Easy,"Propagate by division or separation. Plants the bulbs 5"" deep. Divide after flowering or in the fall.",,Blooms Early to Late Spring,,They require full sun.,They require well-drained soil and prefer moist but well-drained soil.,http://www.gardening.cornell.edu/homegardening/scene469a.html,Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene469a.html. [Accessed: 18-Apr-2019].
desertrose,Desert Rose,,,,,,,,,,,
englishmarigold,English Marigold,,,,,,,,,,,
firelily,Fire Lily,,,,,,,,,,,
foxglove,Foxglove,"Also known as Fairy's Glove, Witches' Gloves, Gloves of Our Lady, Virgin's Glove, Fairy Caps, Folk's Glove, Fairy Thimbles, with rich, moist but well-drained soil and partial shade, this garden classic will produce spikes up to 5 feet tall of dainty, two-lipped blooms. 'Foxy' hybrids will bloom the first year from seed. With most other varieties, you can stretch their biennial nature and get them to flower an additional year or so.",Biennial,Easy,"Propagate by seed. Start seeds outdoors in a nursery bed any time after frost danger has passed up until 2 months before the first heavy fall frost. Do not cover, as light aids germination. Transplant the plants to their garden location in the fall or the following spring. Plants readily self-seed.",,Blooms Late Spring-Early Summer,,"They require full sun, partial shade, or full shade.","They require well-drained soil and prefers rich soil that is moist but well-drained. They tolerate damp soil
and a wide range of soil conditions, except for very wet or very dry.
",http://www.gardening.cornell.edu/homegardening/scenec1a6.html,"""Foxglove,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scenec1a6.html. [Accessed: 11-Apr-2019]."
frangipani,Frangipani,,,,,,,,,,,
fritillary,Fritillary,,,,,,,,,,,
gardenphlox,Garden Phlox,,,,,,,,,,,
gaura,Gaura,"Also known as Beeblossom, upright and graceful, with willowy foliage, Gaura bears erect spikes of dainty white blooms. New varieties offer pink blooms and colored foliage.",Perennial ,Easy,Propagate by seed. Sow seeds where desired in the spring. Very easy to grow from seed.,,Blooms Mid Summer to Early Fall,,They require full sun.,"They requires well-drained soil but tolerate droughty soil.
",http://www.gardening.cornell.edu/homegardening/scene9411.html,"""Gaura,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene9411.html. [Accessed: 11-Apr-2019]."
gazania,Gazania,"Also known as African Daisy, Treasure Flower, the unreal, vividly colored flowers of this South African plant bring a touch of the exotic to the garden. Excellent for sun-baked sites with dry soil.",Annual ,Easy,"Propagate by seed, cuttings. Start the seeds indoors 6 to 8 weeks before the last spring frost date, or scatter the seeds where desired outdoors after frost danger has passed. Cover the seeds lightly, as darkness aids germination. Make basal cuttings in late summer or early fall.",,Blooms Early Summer to Early Fall,,They require full sun.,"They require well-drained soil and prefer sandy, well drained soil and are best in hot weather. They tolerate droughty soil and low fertility
",http://www.gardening.cornell.edu/homegardening/scene5877.html,"""Gazania,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene5877.html. [Accessed: 11-Apr-2019]."
geranium,Geranium,"Also known as Zonal Geranium, Bedding Geranium, these annuals come in a wide range of bold colors that grab attention over long distances. They are the standard for containers or untended, hot, sunny spots where you want a long season of color. Readily available at retail outlets.",Annual ,Easy,"Propagate by seed, cuttings. Geraniums can be grown from barerooted plants salvaged from the garden before the first killing frost. Remove the plants from the soil and shake excess soil from their roots. Place them in a cool, dry place where they will not freeze, and keep their roots marginally moist. Wrapping them with slightly moistened peat moss works well. In spring, 6 to 8 weeks before the last frost, cut the plant stems and roots back (roots to about 6” long), soak them overnight in slightly warmed water, and pot them for growth, placing the pots in a sunny location. Water only when new growth appears. Plant outside after frost danger has passed.

Propagate geraniums from stem cuttings taken in late summer to early fall. Some hybrids are patented, so be sure to heed any warnings and follow all laws concerning their propagation.

Geraniums may also be grown from seed, which should be sown indoors 4 months before the last spring frost date.",,Blooms Late Spring to Early Fall,,They require full sun or partial shade.,"They require well-drained soil and prefers slightly acidic soil. They tolerate droughty soil. They do poorly in clay soil. They need regular watering and fertilization for optimum performance, but will tolerate long dry spells.",http://www.gardening.cornell.edu/homegardening/scene5582.html,"""Geranium, Common,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene5582.html. [Accessed: 11-Apr-2019]."
giantwhitearumlily,Giant White Arum Lily,,,,,,,,,,,
globeflower,Globe Flower,,,,,,,,,,,
globethistle,Globe Thistle,"This tall upright perennial's steely purple-blue, spherical flowerheads and spiny leaves command attention, even from the back of the border. Flowerheads attract bees and make great cut- and dried-flowers arrangements, too.",Perennial,Easy,"Propagate by seed, division or separation. Self-seeds readily. Sow seed in beds in mid-spring.

Do not divide plants until they are at least 3 years old and basal plantlets are visible. Divide in spring. Cut the roots back to about 8” in length.",,Blooms Mid Summer to Early Fall,,They require full sun.,"They require well-drained soil and perform well in hot, dry climates. They tolerate droughty soil.",http://www.gardening.cornell.edu/homegardening/scenebb82.html,"""Globe Thistle,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scenebb82.html. [Accessed: 11-Apr-2019]."
grapehyacinth,Grape Hyacinth,"Also known as Grape Hyacinth, Armenian Grape Hyacinths spread rapidly to form dense drifts of pale blue flower spikes that flower in mid- to late spring. Blooms have a grape-like aroma.",Perennial,Easy,"Propagate by division or separation. Plant the bulbs in fall so that their tops are 2"" below the soil surface. Divide the bulbs in the late summer or fall.",,Blooms Mid to Late Spring,,They require full sun.,They require well-drained soil.,http://www.gardening.cornell.edu/homegardening/scene4971.html,"""Hyacinth, Armenian Grape,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene4971.html. [Accessed: 11-Apr-2019]."
greatmasterwort,Great Masterwort,,,,,,,,,,,
hardleavedpocketorchid,Hard-leaved Pocket Orchid,,,,,,,,,,,
hibiscus,Hibiscus,,,,,,,,,,,
hippeastrum,Hippeastrum,,,,,,,,,,,
japaneseanemone,Japanese Anemone,"Also known as Hybrid Anemone, this delicate-looking perennial is a reliable late-summer to mid-fall bloomer, producing masses of dainty white to pink to rose blooms rising above attractively lobed medium green foliage. Flowers may be single, double, or semi-double.",Perennial,Moderately Difficult,"Propagate by cuttings, division or separation. Take root sections when the plant is dormant and place vertically in loose propagation medium in flats placed in a cold frame. Divide the plant as desired in the spring. Fall division is usually unsuccessful.",Water them during summer dry spells. Plants do not tolerate drought well.,Blooms Late Summer to Mid Fall,,They require full sun or partial shade.,They require well-drained soil and high fertility. They tolerate acid soil.,http://www.gardening.cornell.edu/homegardening/scene84eb.html,"""Anemone, Japanese,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene84eb.html. [Accessed: 11-Apr-2019]."
kingprotea,King Protea,,,,,,,,,,,
lentenrose,Lenten Rose,,,,,,,,,,,
lotus,Lotus,,,,,,,,,,,
loveinthemist,Love in the Mist,,,,,,,,,,,
magnolia,Magnolia,,,,,,,,,,,
mallow,Mallow,,,,,,,,,,,
marigold,Marigold,,,,,,,,,,,
mexicanaster,Mexican Aster,,,,,,,,,,,
mexicanpetunia,Mexican Petunia,,,,,,,,,,,
monkshood,Monkshood,"Also known as Helmet Flower, Friar’s Helmet,Wolfsbane, Wolf’s Bane, and so-named because its flowers resemble the cowls of monks' habits, Monkshood brings showy spikes of attractive purple-blue flowers to the shady parts of your garden.",Perennial,Moderately Difficult,"Propagate by seed, division or separation. Carefully prepare soil before planting, adding lots of organic matter. Plan where you want Monkshood carefully, because plants don't like to be transplanted and are slow to establish. (The roots are brittle.) Plant roots or divide plants in fall or spring. 
Sow seed outdoors in fall, early winter or early spring. Seed is slow to germinate, sometimes taking 1 to 2 years.
",,Blooms Late Summer to Early Fall,,They require full sun or partial shade.,They require well-drained soil and prefer soil that is kept moist but not soggy.,http://www.gardening.cornell.edu/homegardening/scene8d7a.html,"""Monkshood,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene8d7a.html. [Accessed: 11-Apr-2019]."
moonorchid,Moon Orchid,,,,,,,,,,,
