code name,name ,gen info,lifecycle,care difficulty,how to plant,watering,seasons,warnings,sunlight,soil,website link,citation
blanketflower,blanket flower,"Produced above a clump of hairy, narrow, gray-green leaves, the blossoms of perennial blanket flower have petals that may be solid colored shades of yellow, wine red , orange or peach, or may be banded in combinations of red or orange with yellow. The petals of some are frilled, while others have a unique, tubular shape. Sizes range from 10-12 inch high dwarfs to selections as tall as 24-30 inches. All are easy care plants with few insect or disease problems and most are hardy in zones 3-9.",perrenial,,"Container grown plants can be set out throughout the growing season, but spring or fall planting is ideal. Space dwarf cultivars about a foot apart; taller varieties should be set about 18 inches apart. Prepare the garden bed by using a garden fork or tiller to loosen the soil to a depth of 12 to 15 inches, then mix in a 2- to 4-inch layer of compost. Dig a hole twice the diameter of the pot the plant is in. Carefully remove the plant from its container and place it in the hole so the top of the root ball is level with the soil surface. Carefully fill in around the root ball and firm the soil gently. Water thoroughly.",Water newly set out or divided plants regularly until they become established. ,blooms early summer to early fall,,full sun,"very well-drained soil, prefer loose, sandy soil that isn't overly fertile with a pH near neutral or slightly alkaline. ",https://garden.org/plants/group/blanketflowers/,"“Blanket Flowers: Plant Care and Collection of Varieties,” Blanket Flowers: Plant Care and Collection of Varieties - Garden.org. [Online]. Available: https://garden.org/plants/group/blanketflowers/. [Accessed: 11-Apr-2019]."
bolerodeepblue,bolero deep blue,,,,,,,,,,,
bougainvillea,bougainvillea,"The Bougainvillea is an immensely showy, floriferous and hardy plant. Virtually pest-free and disease resistant, it rewards its owner with an abundance of color and vitality when it is well looked after. The bougainvillea’s versatility is legendary. It can be coaxed into a small manageable pot plant or a sizeable tree, to spread itself vertically on a wall, or climb up a trellis and form a luscious crown or burst forth into graceful arches. It makes one of the best hedges, bushes, and curb-liners.",perrenial,,"Generally, bougainvillea can be grown in anything that will hold soil and allow proper drainage. Some of the more traditionally used containers include terra cotta (clay) pots, plastic pots, hanging baskets, wire baskets lined with sphagnum moss or fibrous liners, concrete planters, planter boxes, and bushel baskets. ",,blooms fall to spring (depening on climate),,full sun,well-drained soils,https://www.bgi-usa.com/bougainvillea-101/,"“Bougainvillea 101 | Bougainvillea Plant Care & Fertilizer,” BGI Premium Plant Foods, 06-Oct-2017. [Online]. Available: https://www.bgi-usa.com/bougainvillea-101/. [Accessed: 11-Apr-2019]."
bromelia,bromelia,,perrenial,,,"Bromeliads are adapted to withstand drought, but are much less tolerant of being over-watered which can cause root rot. It is important that your bromeliad is planted in a medium that allows for fast drainage.  Each time you water the potting medium, thoroughly soak it so that the water runs from the drainage holes",,,full sun,potting mixes specially formulated for bromeliads or mix your own using porous materials.,http://www.bromeliads.info/general-indoor-outdoor-bromeliad-care/,
buttercup,buttercup,"Buttercup flowers are members of the Ranunculus genus, a large family (about 400 species) of flowers. These bright, yellow, five-petaled summer bloomers, are native to Asia, Australia, Central America, North America and Europe.",perrenial,easy,Buttercups grow from seed or roots. The seed is difficult to germinate and takes weeks to sprout. Most people grow these plants from division of the roots.  Divide plants in spring or fall. ,Water established plants during dry periods and droughts.,,,"full sun, part shade","light soil that drains well, prefers rich soil",http://www.gardenersnet.com/flower/buttercup.htm,
californianpoppy,californian poppy,"deer resistant
non-aggressive
non-invasive
native to North America - North America",annual,easy,"Propagate by seed - This plant does not transplant well and should be grown from seeds scattered outdoors in the spring when the soil becomes workable. Scatter the seeds where the plants are desired for summer bloom. This plant may seem like it is a perennial, coming back in the same place every year due to self-seeding. However, self-seeding may not produce plants identical to the initial planted variety.",,blooms summer and fall,,full sun,"tolerates droughty soil
requires well-drained soil
requires high fertility
Thrives in dry, sandy areas, and will stand up well to heat.",http://www.gardening.cornell.edu/homegardening/scene43bf-2.html,"“California Poppy,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene43bf-2.html. [Accessed: 11-Apr-2019]."
camellia,camellia,,,,,,,,,,,
cannalily,canna lily,non-aggressive non-invasive not native to North America - Product of horticultural selection. Parents native to tropical areas of Asia and the Americas.,annual,moderately difficult,"Propagate by division or separation - Divide the rhizomes when planting after danger of frost has passed in spring. Each segment should have a strong, healthy ""eye.""",Keep watered but not soggy., blooms summer and fall,,full sun,"requires well-drained soilPrefer fertile, moist but well-drained soil.",http://www.gardening.cornell.edu/homegardening/scene0750.html,"""Canna Lily,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene0750.html. [Accessed: 11-Apr-2019]."
canterburybells,canterbury bells,"non-aggressive
non-invasive
not native to North America - Europe",biennial,moderately difficult,"Propagate by seed - Start seeds outdoors in late spring or early summer in a nursery area of the garden. Thin and grow for the summer in the holding area, overwinter, and transplant into the flower garden the following spring.

",,blooms late spring - mid summer,,"full sun, partial shade","requires well-drained soil, prefer moist soil and cool weather with low humidity.",http://www.gardening.cornell.edu/homegardening/sceneab8a.html,"""Canterbury Bells,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/sceneab8a.html. [Accessed: 11-Apr-2019]."
capeflower,cape flower,,,,,,,,,,,
carnation,carnation,,,,,,,,,,,
cautleyaspicata,cautleya spicata,,,,,,,,,,,
clematis,clematis,,,,,,,,,,,
coltsfoot,colt's foot,,,,,,,,,,,
columbine,columbine,"deer resistant
aggressive - Self-seeds if not deadheaded.
non-invasive
not native to North America - Product of horticultural selection.",perennial,easy,"Propagate by seed, division or separation - Grow only from purchased, labelled seed, as most hybrids do not come true from home-raised seed. Divide carefully in spring. Plants don't like to be disturbed and may take a long time to recover.",Provide constant moisture in full sun without waterlogging the soil.,blooms mid spring-early summer,,"full sun, partial shade","requires well-drained soil, prefers rich, moist but well-drained soil.",http://www.gardening.cornell.edu/homegardening/scene37a5.html,"""Columbine, Hybrid,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene37a5.html. [Accessed: 11-Apr-2019]."
commondandelion,common dandelion,,,,,,,,,,,
cornpoppy,corn poppy,,,,,,,,,,,
cyclamen,cyclamen,non-aggressive non-invasive not native to North America - Native to Asia Minor and Southeastern Europe,perennial,easy,"Propagate by seed, division or separation - Soak seeds for 12 hours before planting. Sow the seeds in late spring for next year's flowering. Plant tubers (actually enlarged hypocotyls) in late summer or early fall.",,blooms early spring,,part shade,"requires well-drained soilPrefers rich, moist but well-drained soil",http://www.gardening.cornell.edu/homegardening/scene5622.html,"""Cyclamen, Hardy,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene5622.html. [Accessed: 11-Apr-2019]."
daffodil,daffodil,deer resistant non-aggressive non-invasive not native to North America - Product of horticultural selection. fragrant - Some cultivars have sweetly scented blooms.,perennial,easy,"Propagate by division or separation - Plants the bulbs 5"" deep. Divide after flowering or in the fall.",,blooms early to late spring,,full sun,requires well-drained soilPrefers moist but well-drained soil.,http://www.gardening.cornell.edu/homegardening/scene469a.html,
desertrose,desert rose,,,,,,,,,,,
englishmarigold,english marigold,,,,,,,,,,,
firelily,fire lily,,,,,,,,,,,
foxglove,foxglove,deer resistant aggressive - Foxgloves self-seeds prolifically. non-invasive not native to North America - Native to woodland edges in Europe and northern Africa.,biennial,easy,"Propagate by seed - Start seeds outdoors in a nursery bed any time after frost danger has passed up until 2 months before the first heavy fall frost. Do not cover, as light aids germination. Transplant the plants to their garden location in the fall or the following spring. Plants readily self-seed.",,blooms late spring-early summer,,"full sun, partial shade, full shade","requires well-drained soil tolerates damp soil. Tolerates a wide range of soil conditions, except for very wet or very dry. Prefers rich soil that is moist but well-drained",http://www.gardening.cornell.edu/homegardening/scenec1a6.html,"""Foxglove,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scenec1a6.html. [Accessed: 11-Apr-2019]."
frangipani,frangipani,,,,,,,,,,,
fritillary,fritillary,,,,,,,,,,,
gardenphlox,garden phlox,,,,,,,,,,,
gaura,gaura,non-aggressive non-invasive native to North America - Southern United States,perennial ,easy,Propagate by seed - Sow seeds where desired in the spring. Very easy to grow from seed.,,blooms mid summer to early fall,,full sun,tolerates droughty soil requires well-drained soil,http://www.gardening.cornell.edu/homegardening/scene9411.html,"""Gaura,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene9411.html. [Accessed: 11-Apr-2019]."
gazania,gazania,"non-aggressive
non-invasive
not native to North America - South Africa",annual ,easy,"Propagate by seed, cuttings - Start the seeds indoors 6 to 8 weeks before the last spring frost date, or scatter the seeds where desired outdoors after frost danger has passed. Cover the seeds lightly, as darkness aids germination. Make basal cuttings in late summer or early fall.",,blooms early summer to early fall,,full sun,"tolerates droughty soil requires well-drained soil tolerates low fertilityPrefers sandy, well drained soil. Performs best in hot weather.",http://www.gardening.cornell.edu/homegardening/scene5877.html,"""Gazania,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene5877.html. [Accessed: 11-Apr-2019]."
geranium,geranium,deer resistant non-aggressive non-invasive not native to North America - Native to South Africa,annual ,easy,"Propagate by seed, cuttings - Geraniums can be grown from barerooted plants salvaged from the garden before the first killing frost. Remove the plants from the soil and shake excess soil from their roots. Place them in a cool, dry place where they will not freeze, and keep their roots marginally moist. Wrapping them with slightly moistened peat moss works well. In spring, 6 to 8 weeks before the last frost, cut the plant stems and roots back (roots to about 6” long), soak them overnight in slightly warmed water, and pot them for growth, placing the pots in a sunny location. Water only when new growth appears. Plant outside after frost danger has passed.

Propagate geraniums from stem cuttings taken in late summer to early fall. Some hybrids are patented, so be sure to heed any warnings and follow all laws concerning their propagation.

Geraniums may also be grown from seed, which should be sown indoors 4 months before the last spring frost date.",,blooms late spring to early fall,,"full sun, part shade","tolerates droughty soil requires well-drained soilDoes poorly in clay soil. Prefers slightly acid soil. Needs regular watering and fertilization for optimum performance, but will tolerate long dry spells.",http://www.gardening.cornell.edu/homegardening/scene5582.html,"""Geranium, Common,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene5582.html. [Accessed: 11-Apr-2019]."
giantwhitearumlily,giant white arum lily,,,,,,,,,,,
globeflower,globe flower,,,,,,,,,,,
globethistle,globe thistle,"deer resistant
non-aggressive - May self-seed, but not very aggressively.
non-invasive
not native to North America - Native to Central Asia, South-Central and Southeastern Europe.
bears ornamental fruit - Spherical seedheads are attractive.",perennial,easy,"Propagate by seed, division or separation - Self-seeds readily. Sow seed in beds in mid-spring.

Do not divide plants until they are at least 3 years old and basal plantlets are visible. Divide in spring. Cut the roots back to about 8” in length.",,blooms mid summer to early fall,,full sun,"tolerates droughty soil requires well-drained soilPerforms well in hot, dry climates.",http://www.gardening.cornell.edu/homegardening/scenebb82.html,"""Globe Thistle,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scenebb82.html. [Accessed: 11-Apr-2019]."
grapehyacinth,grape hyacinth,"non-aggressive - Spreads rapdly to form clumps, but is manageable.
non-invasive
not native to North America - Native to the Mediterranean
fragrant - Blooms have an attractive grape-like aroma.
",perennial,easy,"Propagate by division or separation - Plant the bulbs in fall so that their tops are 2"" below the soil surface. Divide the bulbs in the late summer or fall.",,blooms mid to late spring,,full sun,requires well-drained soil,http://www.gardening.cornell.edu/homegardening/scene4971.html,"""Hyacinth, Armenian Grape,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene4971.html. [Accessed: 11-Apr-2019]."
greatmasterwort,great masterwort,,,,,,,,,,,
hardleavedpocketorchid,hard-leaved pocket orchid,,,,,,,,,,,
hibiscus,hibiscus,,,,,,,,,,,
hippeastrum,hippeastrum,,,,,,,,,,,
japaneseanemone,japanese anemone,"deer resistant
aggressive - Once established, the plants spread to form dense clumps if conditions are right.
non-invasive
not native to North America - Product of horticultural breeding.",perennial,moderately difficult,"Propagate by cuttings, division or separation - Take root sections when the plant is dormant and place vertically in loose propagation medium in flats placed in a cold frame. Divide the plant as desired in the spring. Fall division is usually unsuccessful.",Water during summer dry spells. Plants do not tolerate drought well.,blooms late summer to mid fall,,"full sun, part shade",tolerates acid soil requires well-drained soil requires high fertility,http://www.gardening.cornell.edu/homegardening/scene84eb.html,"""Anemone, Japanese,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene84eb.html. [Accessed: 11-Apr-2019]."
kingprotea,king protea,,,,,,,,,,,
lentenrose,lenten rose,,,,,,,,,,,
lotus,lotus,,,,,,,,,,,
loveinthemist,love in the mist,,,,,,,,,,,
magnolia,magnolia,,,,,,,,,,,
mallow,mallow,,,,,,,,,,,
marigold,marigold,,,,,,,,,,,
mexicanaster,mexican aster,,,,,,,,,,,
mexicanpetunia,mexican petunia,,,,,,,,,,,
monkshood,monkshood,deer resistant non-aggressive non-invasive not native to North America - China,perennial,moderately difficult,"Propagate by seed, division or separation - Carefully prepare soil before planting, adding lots of organic matter. Plan where you want Monkshood carefully, because plants don't like to be transplanted and are slow to establish. (The roots are brittle.) Plant roots or divide plants in fall or spring. 
Sow seed outdoors in fall, early winter or early spring. Seed is slow to germinate, sometimes taking 1 to 2 years.
",,blooms later summer to early fall,,"full sun, part shade",requires well-drained soilPrefers soil that is kept moist but not soggy.,http://www.gardening.cornell.edu/homegardening/scene8d7a.html,"""Monkshood,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene8d7a.html. [Accessed: 11-Apr-2019]."
moonorchid,moon orchid,,,,,,,,,,,
morningglory,morning glory,"deer resistant
aggressive - Self-seeds easily. Can become a weedy nuisance.
non-invasive
native to North America - North America
",annual,easy,"Propagate by seed - Start seeds indoors 4 to 6 weeks before the last spring frost, or outdoors where desired after frost danger has passed. Before planting, nick the hard-coated seeds with a file or soak overnight in warm water.",,early summer to ealy fall,,full sun,requires well-drained soil,http://www.gardening.cornell.edu/homegardening/scene7b64.html,"“Morning Glory,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene7b64.html. [Accessed: 11-Apr-2019]."
orangedahlia,orange dahlia,,,,,,,,,,,
osteospermum,osteospermum,"deer resistant
non-aggressive
non-invasive
not native to North America - Native to Africa.
",annual,moderately difficult,Propagate by seed - Start seeds indoors 6 to 8 weeks before the last spring frost.,,blooms mid summer to mid fall,,full sun,"tolerates droughty soil
requires well-drained soil
tolerates low fertility
",http://www.gardening.cornell.edu/homegardening/scene82d7.html,"“Osteospermum,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene82d7.html. [Accessed: 11-Apr-2019]."
oxeyedaisy,oxeye daisy,,,,,,,,,,,
passionflower,passion flower,,,,,,,,,,,
pelargonium,pelargonium,,,,,,,,,,,
peruvianlily,peruvian lily,,,,,,,,,,,
petunia,petunia,,,,,,,,,,,
pincushionflower,pincushion flower,"non-aggressive
non-invasive
not native to North America - Native to the Mediterranean.
fragrant - Flowers are fragrant.",annual,easy,"Propagate by seed - Sow indoors 4 to 6 weeks before the last spring frost, or outdoors after frost danger has passed.

",,blooms early summer to mid fall,,full sun,"requires well-drained soil. 
Performs best in slightly alkaline soils.",http://www.gardening.cornell.edu/homegardening/sceneb858.html,"“Pincushion Flower,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/sceneb858.html. [Accessed: 11-Apr-2019]."
pinkprimrose,pink primrose,,,,,,,,,,,
pinkyellowdahlia,pink-yellow dahlia,,,,,,,,,,,
poinsettia,poinsettia,,,,,,,,,,,
primula,primula,,,,,,,,,,,
princeofwalesfeathers,prince of wales feathers,,,,,,,,,,,
purpleconeflower,purple coneflower,,,,,,,,,,,
redginger,red ginger,,,,,,,,,,,
rose,rose,,,,,,,,,,,
rubylippedcattleya,ruby-lipped cattleya,,,,,,,,,,,
siamtulip,siam tulip,,,,,,,,,,,
silverbush,silverbush,,,,,,,,,,,
snapdragon,snapdragon,"deer resistant
non-aggressive
non-invasive
not native to North America - Mediterranean
fragrant
",annual,easy,"Propagate by seed - Start seeds indoors 6 to 8 weeks before the last spring frost. The seeds need light to germinate. Plants tolerate frost and grow best in cool weather, so you can transplant them outside before last frost date.",,blooms mid summer to mid fall,,full sun,"requires well-drained soil. 
Prefers light soil, high in organic matter.",http://www.gardening.cornell.edu/homegardening/scene95d7.html,"""Snapdragon,"" Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene95d7.html. [Accessed: 11-Apr-2019]."
spearthistle,spear thistle,,,,,,,,,,,
springcrocus,spring crocus,"non-aggressive - Plants spread to form large clumps, but are not usually a nuisance.
non-invasive
not native to North America - Products of horticultural breeding
fragrant - Blooms are sweetly fragrant.
naturalistic garden",perennial,easy,"Propagate by devision or separation - divide in early fall

Plant the corms 2"" below the surface of the ground.
When forcing these bulbs, do not move them into a warm location until the flower buds show some color. Moving them earlier may result in failure to flower.",,early spring,,"full sun
part shade",well-drained soil,http://www.gardening.cornell.edu/homegardening/scene0ab0.html,"""Crocus hybrids,"" Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene0ab0.html. [Accessed: 11-Apr-2019]."
stemlessgentian,stemless gentian,,,,,,,,,,,
sunflower,sunflower,,,,,,,,,,,
sweetpea,sweet pea,,,,,,,,,,,
sweetwilliam,sweet william,,,,,,,,,,,
swordlily,sword lily,,,,,,,,,,,
thornapple,thornapple,,,,,,,,,,,
tigerlily,tiger lily,,,,,,,,,,,
